Lead_ID,Lead_Name,Email,Phone_Number,Lead_Source,Lead_Stage,Date_of_Inquiry,Campaign_ID
b3da7e9d-db39-bed1-e9ff-e66e3ab2f28e,Kirk Bullin,kirk.bullin@yahoo.com,(512) 455-7921,SEO,Closed Won,2024-08-16T13:39:40+00:00,5081
408ec449-afea-e720-1cca-1ef6f34daf55,Murielle Offord,murielle.offord@gmail.com,(704) 838-5616,Partner,Qualified,2024-05-13T01:45:23+00:00,5055
c1b1c9db-fbcc-cdca-1010-14a0f3d2ad74,Rayner O'Mohun,rayner.o'mohun@gmail.com,(619) 159-6882,Social Media,Closed Won,2023-12-07T17:56:12+00:00,5012
611107c3-8f20-dcbb-5f21-cc6196340fa1,Abey Scimone,abey.scimone@yahoo.com,(706) 813-9673,Trade Show,Proposal Sent,2024-02-21T04:54:40+00:00,5033
e36165b1-3b22-81ae-f3c2-d4623223fa1d,Murdock Yuryaev,murdock.yuryaev@gmail.com,(865) 995-6644,Inbound Marketing,Closed Won,2024-08-06T15:33:40+00:00,5078
0c16a8d5-bad2-c88f-7265-4756c1e5c0d6,Terrie Hutable,terrie.hutable@hotmail.com,(318) 454-9291,Paid Advertising,Negotiation,2024-04-05T12:24:01+00:00,5045
16f06f6e-86bb-2dc4-3876-4a4abc2c6b78,Yuma De Malchar,yuma.de malchar@yahoo.com,(503) 069-6477,Inbound Marketing,Negotiation,2024-07-16T06:47:38+00:00,5072
c5254286-fcbb-35b0-6310-797f27f9f628,Annis McCorley,annis.mccorley@yandex.ru,(917) 242-8625,Direct Mail,New,2024-06-07T23:12:09+00:00,5062
7231e0a9-7680-1bc4-b8e1-fee93441edaf,Revkah Radmer,revkah.radmer@hotmail.com,(234) 754-8216,Content Marketing,Closed Won,2024-06-27T04:32:07+00:00,5067
5c2e260a-d8f5-0001-999e-456c3212aaf7,Trent Sewter,trent.sewter@yahoo.com,(916) 357-8248,Social Media,Closed Won,2023-12-03T13:26:29+00:00,5011
c28a9030-32fc-70d0-0cbd-ade1d21b294b,Teresita Bantham,teresita.bantham@live.com,(704) 693-8354,Partner,Proposal Sent,2024-05-14T06:27:24+00:00,5055
9d058541-b3dc-c41f-29fc-13d6e4d0f3f8,Raddie Habbergham,raddie.habbergham@gmail.com,(214) 117-2107,SEO,Negotiation,2024-08-23T17:34:54+00:00,5083
c1f6c575-aee6-1caa-9d76-b6b4e1ba1cff,Bartolomeo Falla,bartolomeo.falla@gmail.com,(610) 308-2881,Inbound Marketing,Contacted,2024-07-28T04:13:54+00:00,5075
25616d12-e9c6-402b-b977-d63cafde38df,Kirsteni McGilmartin,kirsteni.mcgilmartin@hotmail.com,(774) 618-5614,Organic Search,Closed Won,2024-04-10T20:43:01+00:00,5046
48fd3f7b-f0b2-c155-91fc-3ef61d80e3ed,Emylee Karpenko,emylee.karpenko@gmail.com,(513) 333-9928,Content Marketing,Negotiation,2024-06-29T15:03:15+00:00,5068
0100d8f0-3f2d-6774-3bd9-18128adc3988,Norrie Wedgwood,norrie.wedgwood@yahoo.com.sg,(805) 557-7827,Email Campaign,New,2023-12-19T06:27:17+00:00,5015
c2589d4b-021d-aea6-5b6e-c1b5be53b687,Korie Girdlestone,korie.girdlestone@gmail.com,(412) 566-1952,Inbound Marketing,Closed Lost,2024-07-28T01:47:18+00:00,5075
0509144d-5446-dcfd-be6a-2567b208df3b,Sibylle Goodley,sibylle.goodley@gmail.com,(513) 119-8567,Content Marketing,Closed Won,2024-06-29T05:20:23+00:00,5068
c58bc293-e6d1-6140-56d6-6f231df8d3a5,Jaine Cruce,jaine.cruce@gmail.com,(907) 879-0543,Webinar,Qualified,2023-10-23T03:17:36+00:00,5000
9fee6c1f-8765-b711-1073-003e619f6510,Brander Tavner,brander.tavner@gmail.com,(512) 127-6996,Telemarketing,New,2024-10-09T18:50:05+00:00,5095
658775fe-4b4b-469d-3c6f-970fe10bd5dc,Loren Rainey,loren.rainey@hotmail.com,(850) 595-5945,SEO,Closed Lost,2024-08-14T16:59:45+00:00,5080
2963efea-719f-403e-3eac-e96160c5b06d,Megan Askey,megan.askey@hotmail.com,(619) 909-1280,Cold Call,Negotiation,2024-02-06T03:47:58+00:00,5029
35c16234-c56e-1452-8a65-8e54fd9b24c2,Yuri Dunnico,yuri.dunnico@gmail.com,(509) 634-6910,Social Media,Contacted,2023-12-06T02:55:32+00:00,5012
3b55ff99-5e5e-5bd2-cfeb-dad5e3c049c1,Ruthann Bunney,ruthann.bunney@gmail.com,(347) 445-1839,Telemarketing,Closed Lost,2024-06-20T21:51:03+00:00,5096
c2391212-0a43-d99e-c6a6-203e35c1ad29,Linnell Roglieri,linnell.roglieri@gmail.com,(304) 897-6109,Email Campaign,Qualified,2024-10-20T10:23:25+00:00,5065
81e0c9f1-8e8d-a08d-0301-6e9e6381c4eb,Rafaello Causer,rafaello.causer@yahoo.com,(719) 156-7551,Networking Event,Closed Lost,2023-12-22T12:58:19+00:00,5098
3d5eabf2-70ef-2dd3-6ad1-095b8f77a35b,Nathalie Brettel,nathalie.brettel@gmail.com,(281) 650-0910,Trade Show,Proposal Sent,2024-09-04T20:09:43+00:00,5016
a3fb8b20-dcbf-463e-dd14-49c4a6f7242a,Drusilla Ryrie,drusilla.ryrie@rocketmail.com,(706) 559-0899,Paid Advertising,Proposal Sent,2024-02-21T07:22:36+00:00,5086
d4505565-2f1c-81ed-63d7-1621c608b50b,Aeriell Tabary,aeriell.tabary@gmail.com,(571) 159-3067,Direct Mail,Negotiation,2024-09-25T19:24:26+00:00,5033
ed4a5077-5441-e3d5-69ec-db3f30479bb1,Regina Flecknell,regina.flecknell@gmail.com,(318) 817-3639,Telemarketing,Proposal Sent,2024-04-05T02:55:52+00:00,5091
46c2fe74-ec73-be95-ef78-dfa984e41dc1,Godwin Rodolf,godwin.rodolf@yahoo.com,(816) 797-0513,Referral,Contacted,2024-05-03T11:06:27+00:00,5045
56cf773c-f19c-f4de-3563-8f527f85f867,Cherianne Mattiazzi,cherianne.mattiazzi@ig.com.br,(718) 386-6046,Referral,Contacted,2024-06-16T00:03:51+00:00,5052
09aad807-8c9e-f535-9036-acd247be211e,Averil Risbie,averil.risbie@hotmail.com,(816) 639-7767,Direct Mail,Negotiation,2024-05-02T17:28:39+00:00,5064
ea0a185e-a042-7aa4-ad5b-87981858c816,Pedro Delia,pedro.delia@yahoo.com,(304) 680-3882,Social Media,New,2024-10-18T15:26:19+00:00,5052
e44edd95-61a2-a202-8172-e0bd59f9c249,Hayes Hume,hayes.hume@hotmail.com,(954) 997-8582,Direct Mail,New,2024-01-15T07:11:01+00:00,5098
480cc9dd-27cd-194f-1c6b-1ff3370ff403,Delaney Bloxsom,delaney.bloxsom@hotmail.com,(352) 147-8410,Referral,Negotiation,2024-01-21T17:57:48+00:00,5023
c186e500-2c64-a0a3-55bd-a50b3239cd7f,Patrizio Simnel,patrizio.simnel@gmail.com,(212) 698-2201,Paid Advertising,Closed Lost,2024-06-14T18:49:32+00:00,5024
2ef75db4-a232-bd8f-e207-8b2a65028d9e,Virgilio Hammer,virgilio.hammer@gmail.com,(559) 760-0037,Cold Call,Contacted,2023-11-16T00:44:45+00:00,5064
